id,cohort,module,room,ta_name,ticket_completion_time,is_completed,created_at,updated_at
1,4-17,dsa - Careers,Team 4,kelvinarauz#0,0,true,Fri Jun 09 2023 04:29:02 GMT-0500 (Central Daylight Time),Fri Jun 09 2023 04:29:02 GMT-0500 (Central Daylight Time)
2,2-27,JS - Project,Team 4,kelvinarauz#0,0,false,Fri Jun 09 2023 04:32:33 GMT-0500 (Central Daylight Time),Fri Jun 09 2023 04:32:33 GMT-0500 (Central Daylight Time)
3,4-17,JS - Mock interview,Side Room 1,kelvinarauz#0,9.06,true,Fri Jun 09 2023 04:36:20 GMT-0500 (Central Daylight Time),Fri Jun 09 2023 04:36:29 GMT-0500 (Central Daylight Time)
4,2-27,dsa - Final capstone,Team 4,kelvinarauz#0,9.059,true,Fri Jun 09 2023 04:38:25 GMT-0500 (Central Daylight Time),Fri Jun 09 2023 04:38:34 GMT-0500 (Central Daylight Time)
5,4-17,backend - Project,Side Room 1,kelvinarauz#0,0,false,Thu Jun 15 2023 15:27:57 GMT-0500 (Central Daylight Time),Thu Jun 15 2023 15:27:57 GMT-0500 (Central Daylight Time)
6,4-17,frontend - JavaScript and the DOM,Team 3,kelvinarauz#0,1741.9,true,Thu Jun 15 2023 15:58:12 GMT-0500 (Central Daylight Time),Thu Jun 15 2023 16:27:13 GMT-0500 (Central Daylight Time)
7,2-27,dsa - Final capstone,Side Room 1,kelvinarauz#0,0,false,Thu Jun 15 2023 16:29:22 GMT-0500 (Central Daylight Time),Thu Jun 15 2023 16:29:22 GMT-0500 (Central Daylight Time)
8,2-27,JS - Advanced functions,Team 3,kelvinarauz#0,51.485,true,Thu Jun 15 2023 16:30:03 GMT-0500 (Central Daylight Time),Thu Jun 15 2023 16:30:54 GMT-0500 (Central Daylight Time)
9,2-27,dsa - Trees,Team 2,kelvinarauz#0,48.224,true,Thu Jun 15 2023 18:41:13 GMT-0500 (Central Daylight Time),Thu Jun 15 2023 18:42:01 GMT-0500 (Central Daylight Time)
10,2-27,frontend - React state management,Team 4,kelvinarauz#0,0,false,Tue Jun 20 2023 16:25:46 GMT-0500 (Central Daylight Time),Tue Jun 20 2023 16:25:46 GMT-0500 (Central Daylight Time)
11,2-27,backend - Creating relations,Side Room 1,kelvinarauz#0,128.358,true,Tue Jun 20 2023 16:26:09 GMT-0500 (Central Daylight Time),Tue Jun 20 2023 16:28:18 GMT-0500 (Central Daylight Time)
13,4-17,backend - Creating relations,Team 3,kda#5599,38.31,true,Tue Jun 20 2023 16:36:51 GMT-0500 (Central Daylight Time),Tue Jun 20 2023 16:37:29 GMT-0500 (Central Daylight Time)
12,4-17,JS - JavaScript foundations,Team 4,kelvinarauz#0,79.406,true,Tue Jun 20 2023 16:36:26 GMT-0500 (Central Daylight Time),Tue Jun 20 2023 16:37:46 GMT-0500 (Central Daylight Time)
14,4-17,frontend - Mock Interview,Team 4,kelvinarauz#0,0,false,Tue Jun 20 2023 16:54:51 GMT-0500 (Central Daylight Time),Tue Jun 20 2023 16:54:51 GMT-0500 (Central Daylight Time)
15,6-05,dsa - Data structures,Team 4,kda#5599,32.61,true,Tue Jun 20 2023 16:55:21 GMT-0500 (Central Daylight Time),Tue Jun 20 2023 16:55:54 GMT-0500 (Central Daylight Time)
16,7-24,dsa - Data structures,Team 4,kelvinarauz#0,5.479,true,Tue Jun 20 2023 16:56:21 GMT-0500 (Central Daylight Time),Tue Jun 20 2023 16:56:26 GMT-0500 (Central Daylight Time)
17,4-17,frontend - Mock Interview,Team 4,kda#5599,35.166,true,Tue Jun 20 2023 16:57:50 GMT-0500 (Central Daylight Time),Tue Jun 20 2023 16:58:26 GMT-0500 (Central Daylight Time)